kernel,fitter,n_true,events,mean,sd,bias,rmse,mean_se,coverage95,ks_reject5,converged,mean_events,seconds
exp,exp_true_beta,0.3,500,0.2985759206194075,0.042026076548907276,-0.0014240793805924568,0.0416280589263414,0.04218640233077878,0.94,0.0,1.0,508.58,0.0604990239997278
exp,exp_profile,0.3,500,0.29751668960912103,0.04784555742145595,-0.0024833103908789224,0.047429740123343375,0.04187779166536101,0.94,0.0,1.0,508.58,0.14164916399924551
exp,grid_decade_const,0.3,500,0.3458311254072099,0.05308943690257147,0.04583112540720987,0.06973242144448215,0.06195553275197322,0.92,0.0,1.0,508.58,0.010682940000842791
exp,grid_default_const,0.3,500,0.32503620950222784,0.05788197541194757,0.025036209502227836,0.06253101952053046,0.06999452869553345,0.94,0.0,1.0,508.58,0.016550893999810797
exp,grid_default_spline2min,0.3,500,0.29887491695340757,0.052816757853337906,-0.0011250830465924344,0.052298026002872235,0.05745853587196025,0.96,0.0,1.0,508.58,0.018721836000622716
exp,exp_true_beta,0.3,2000,0.297606662844533,0.03219536709645294,-0.00239333715546694,0.03196152205333153,0.03621086738132995,0.98,0.0,1.0,2011.98,0.04448086200020043
exp,exp_profile,0.3,2000,0.29677066251965806,0.042955812253504304,-0.0032293374803419217,0.0426465284729377,0.03586115342174141,0.92,0.0,1.0,2011.98,0.17160345799959031
exp,grid_decade_const,0.3,2000,0.35440309828480177,0.05543730565247472,0.054403098284801735,0.07727564987647521,0.06044340263622682,0.88,0.0,1.0,2011.98,0.016211516000621488
exp,grid_default_const,0.3,2000,0.33789957325454656,0.06475720087030609,0.0378995732545466,0.07447148995516856,0.07200808242175943,0.9,0.0,1.0,2011.98,0.035738569998939054
exp,grid_default_spline2min,0.3,2000,0.3032516692250824,0.05496697985720667,0.003251669225082387,0.05451160289222342,0.05912712840167615,0.94,0.0,1.0,2011.98,0.04345668599999044
exp,exp_true_beta,0.3,5000,0.2954952145171416,0.03531082735487455,-0.004504785482858369,0.03524500716644293,0.03506997934480069,0.96,0.02,1.0,5009.82,0.008578373999916948
exp,exp_profile,0.3,5000,0.2985570432353097,0.04577641688421447,-0.0014429567646903141,0.04533930811257503,0.03517660986323971,0.88,0.0,1.0,5009.82,0.20296458800090478
exp,grid_decade_const,0.3,5000,0.35184626930589435,0.04639753712089397,0.05184626930589437,0.06926552145769468,0.05877101019493107,0.8,0.0,1.0,5009.82,0.024105439999548253
exp,grid_default_const,0.3,5000,0.32834758656153035,0.0564258847717055,0.028347586561530348,0.0626401510749124,0.07240495622983366,0.96,0.02,1.0,5009.82,0.06131826799915871
exp,grid_default_spline2min,0.3,5000,0.30220783059560835,0.04572960770600644,0.002207830595608384,0.04532380827407648,0.054982091759556456,0.96,0.0,1.0,5009.82,0.08198761199921137
exp,exp_true_beta,0.6,500,0.5868093982525723,0.0464598113506052,-0.013190601747427685,0.047847003707425485,0.04234398093698499,0.92,0.0,1.0,503.0,0.005399730000644923
exp,exp_profile,0.6,500,0.5925376290811757,0.04417340076825197,-0.007462370918824286,0.04436158843474912,0.042607276057491664,0.94,0.0,1.0,503.0,0.1382731660004356
exp,grid_decade_const,0.6,500,0.6373058071662542,0.042684064218623356,0.03730580716625421,0.05636678099537807,0.047030917575245426,0.9,0.04,1.0,503.0,0.00878772600000957
exp,grid_default_const,0.6,500,0.6149877545864538,0.04382182353137687,0.014987754586453819,0.045897472270339676,0.052031366579906715,0.96,0.0,1.0,503.0,0.014088240000128281
exp,grid_default_spline2min,0.6,500,0.5969617702518534,0.04671035357476312,-0.0030382297481465225,0.04634059590100588,0.04813896253342876,0.94,0.0,1.0,503.0,0.020614067999704274
exp,exp_true_beta,0.6,2000,0.5999967379081846,0.03304959000531182,-3.2620918153547507e-06,0.03271742505409107,0.029745182631682052,0.94,0.0,1.0,2034.42,0.006651016000832896
exp,exp_profile,0.6,2000,0.5987203349463434,0.03709216851187945,-0.0012796650536566023,0.03674166474542135,0.02967026754418946,0.9,0.0,1.0,2034.42,0.1623669459982193
exp,grid_decade_const,0.6,2000,0.6589904567588561,0.03370214123520662,0.058990456758856134,0.06777161371827835,0.03584307272521946,0.6,0.02,1.0,2034.42,0.012588932000217028
exp,grid_default_const,0.6,2000,0.6256741930082276,0.04047776472019072,0.02567419300822757,0.047590383846234915,0.0417393413829082,0.92,0.0,1.0,2034.42,0.027597492001368663
exp,grid_default_spline2min,0.6,2000,0.609823322563097,0.0371925140385287,0.009823322563096967,0.03810662809374087,0.03834012431978542,0.96,0.0,1.0,2034.42,0.03651757599960547
