kernel,n_true,events,seed,fitter,n_events,n_hat,se_n,converged,loglik,ks_stat,ks_p,seconds,beta_hat
exp,0.3,500,0,exp_true_beta,494,0.3057715461916003,0.04292518476129515,True,-557.2664575319975,0.02408969883470502,0.9299793154677862,0.3730382999929134,
exp,0.3,500,0,exp_profile,494,0.3010741482244493,0.04237054534441718,True,-557.25245915041,0.025380699434375043,0.8997543885022582,0.1843382999941241,2.0886886251923418
exp,0.3,500,0,grid_decade_const,494,0.3518802662321793,0.05429144868244419,True,-556.9087206770832,0.03169647865976716,0.6914703626033876,0.02020559999800753,
exp,0.3,500,0,grid_default_const,494,0.3204243099717056,0.0569809839287544,True,-555.4499905881136,0.024626923266306833,0.9180965750812963,0.010461800004122779,
exp,0.3,500,0,grid_default_spline2min,494,0.31833665230141117,0.05702827011537773,True,-554.8494619760049,0.028515250763701205,0.8056741394299081,0.01289060000272002,
exp,0.3,500,1,exp_true_beta,539,0.31088319788181806,0.04290834267387735,True,-563.8576020523093,0.020006184952192696,0.9793692458796284,0.004419199991389178,
exp,0.3,500,1,exp_profile,539,0.33618685383262514,0.045656244007879605,True,-563.4539828070654,0.024601137322259325,0.8918566560651219,0.14359939999121707,1.6078779887185761
exp,0.3,500,1,grid_decade_const,539,0.40259687609611994,0.1242973738275224,True,-564.8595997875765,0.03994563241278776,0.3468768520690927,0.0140055000083521,
exp,0.3,500,1,grid_default_const,539,0.42730320084909196,0.12495645994451939,True,-563.317421442458,0.022952659751283522,0.9326576320443156,0.026422500013723038,
exp,0.3,500,1,grid_default_spline2min,539,0.3402934221269215,0.05476808639682752,True,-559.2685786581367,0.026524152128685585,0.832748195879323,0.025842600007308647,
exp,0.3,500,2,exp_true_beta,487,0.3241687176714213,0.04289266240010518,True,-551.717661888439,0.03254745116315094,0.6682154938516629,0.005790499999420717,
exp,0.3,500,2,exp_profile,487,0.3066984058773736,0.04090831992369407,True,-551.4515400182595,0.02925005882981635,0.7875792272770458,0.14188779999676626,2.383398225151512
exp,0.3,500,2,grid_decade_const,487,0.360703165254516,0.05317031520212845,True,-553.8967886693466,0.0405384235406232,0.3898732590340521,0.01100100000621751,
exp,0.3,500,2,grid_default_const,487,0.323910563971768,0.055211705617279574,True,-551.3060876292005,0.030093786369439823,0.758032578409018,0.02145649999147281,
exp,0.3,500,2,grid_default_spline2min,487,0.2862518264206403,0.05727520324059919,True,-547.2853614417716,0.028869214240883012,0.8005611117205853,0.01853710001159925,
exp,0.3,500,3,exp_true_beta,573,0.3410567434916249,0.04047650880772559,True,-552.3408290764038,0.044103761487180315,0.20874775559924585,0.005793999996967614,
exp,0.3,500,3,exp_profile,573,0.29683514233590697,0.035451786381182473,True,-549.5583386089036,0.03142350571453584,0.6119766956606456,0.1317640999914147,3.289222635437496
exp,0.3,500,3,grid_decade_const,573,0.34764027189525615,0.05126137584750227,True,-555.5040716283579,0.04892685262712099,0.12449880335475738,0.010824900004081428,
exp,0.3,500,3,grid_default_const,573,0.30058465627972464,0.03581421434748642,True,-549.5774962447919,0.032979110882132734,0.5501950899666626,0.011738200002582744,
exp,0.3,500,3,grid_default_spline2min,573,0.2878139332273417,0.03588506369632544,True,-545.5159470590681,0.027907311652723976,0.7526108074167035,0.01718809999874793,
exp,0.3,500,4,exp_true_beta,497,0.3402506835884696,0.04191985013641768,True,-546.2285773669173,0.016830156391481776,0.9985833474383943,0.006176399998366833,
exp,0.3,500,4,exp_profile,497,0.3199910545108511,0.03967513816131203,True,-545.7007972487962,0.021966492651871117,0.9658804865240571,0.1395384999923408,2.4706557001985074
exp,0.3,500,4,grid_decade_const,497,0.3742368582220498,0.05235960763438739,True,-550.8591295662332,0.02906477755501058,0.7838434831653366,0.007533600000897422,
exp,0.3,500,4,grid_default_const,497,0.32110576445518485,0.05440895772573552,True,-546.2210294355776,0.026129534726641618,0.8775201435743408,0.012224699996295385,
exp,0.3,500,4,grid_default_spline2min,497,0.31671496699843826,0.0543617122166626,True,-545.5941247366047,0.026410760980259324,0.869467450110612,0.012776899995515123,
exp,0.3,500,5,exp_true_beta,518,0.31557368782383033,0.041402568436221414,True,-554.5306263682694,0.021773186717807994,0.9622440350457856,0.007627800005138852,
exp,0.3,500,5,exp_profile,518,0.303615958014432,0.040055290969366,True,-554.4038762183399,0.019820752310519524,0.9846685751458107,0.13591420000011567,2.2543795587132935
exp,0.3,500,5,grid_decade_const,518,0.3429483902915022,0.05132404152987844,True,-556.544345239651,0.023614734609978205,0.9281785626099424,0.008019399989279918,
exp,0.3,500,5,grid_default_const,518,0.30947165785688396,0.05283722537977077,True,-554.7182828448628,0.024470381112587564,0.9080278706909664,0.025798499991651624,
exp,0.3,500,5,grid_default_spline2min,518,0.30057633618640517,0.052994813881773004,True,-553.2304752945277,0.02345112130770305,0.9317258010549514,0.015007299996796064,
exp,0.3,500,6,exp_true_beta,523,0.3516083023088073,0.041726183354009225,True,-546.0626001008718,0.030899498779884127,0.6881880429033707,0.005646199992042966,
exp,0.3,500,6,exp_profile,523,0.3434727317280338,0.040930146525578116,True,-546.0167777666536,0.029286704314774314,0.7492928242798623,0.14102429999911692,2.14722997798175
exp,0.3,500,6,grid_decade_const,523,0.38898953628420463,0.05121914236215123,True,-546.1818694912528,0.034983511940157586,0.5324477629407882,0.011019200013834052,
exp,0.3,500,6,grid_default_const,523,0.36740754031106443,0.053557418382287635,True,-545.385689660928,0.02568194434419868,0.8715965584981042,0.013180299996747635,
exp,0.3,500,6,grid_default_spline2min,523,0.36755208424274505,0.05353473877045346,True,-544.6209278269084,0.02723699266688462,0.8222650773656479,0.019770899991272017,
exp,0.3,500,7,exp_true_beta,469,0.3286418241175443,0.04363813126896438,True,-546.7626306357947,0.024844895344973805,0.9272690537315686,0.004532299994025379,
exp,0.3,500,7,exp_profile,469,0.3321669911324595,0.044007896870965325,True,-546.7529088779378,0.024972772101263474,0.9245476527300827,0.133558899993659,1.9358348924783026
exp,0.3,500,7,grid_decade_const,469,0.3730230689598757,0.05319669673152608,True,-548.4121912217265,0.03526491290697531,0.591523968920012,0.01080990000627935,
exp,0.3,500,7,grid_default_const,469,0.3815468498902173,0.12442096235704499,True,-546.946509157732,0.03134280833636993,0.7339281272310249,0.013021999999182299,
exp,0.3,500,7,grid_default_spline2min,469,0.31849387613127056,0.05550674526916737,True,-542.9914946543141,0.026744289031040536,0.8814491862083066,0.015281100000720471,
exp,0.3,500,8,exp_true_beta,494,0.34851831640773456,0.040527540999979246,True,-535.6603649667793,0.035213207807117564,0.5604608494140995,0.4611140999913914,
exp,0.3,500,8,exp_profile,494,0.3640822045947855,0.04199596869740422,True,-535.4160717491238,0.029024460495010618,0.7882689823894241,0.1726455000025453,1.7311437243963903
exp,0.3,500,8,grid_decade_const,494,0.4143243092823787,0.049454796543160894,True,-537.0266150059339,0.02566421623920556,0.8923722657755779,0.010278800007654354,
