scenario,fitter,n_true,n_true_within_10s,n_hat_mean,n_hat_sd,bias_total,bias_within_10s,mean_events,converged,ks_reject5,lb_reject5,condition_median
near_critical_0.95,grid_const,0.95,0.95,0.9449509643665421,0.021080291770092897,-0.005049035633457903,-0.005049035633457903,1977.0333333333333,1.0,0.06666666666666667,0.03333333333333333,32.44707688007164
near_critical_0.95,grid_spline2min,0.95,0.95,0.939781367193781,0.02306730636770102,-0.010218632806218953,-0.010218632806218953,1977.0333333333333,1.0,0.06666666666666667,0.03333333333333333,33.534951612668834
near_critical_0.95,grid_spline1min,0.95,0.95,0.9344322707069629,0.022691059167723102,-0.015567729293037154,-0.015567729293037154,1977.0333333333333,1.0,0.06666666666666667,0.0,34.02693752021169
near_critical_0.99,grid_const,0.99,0.99,0.9523413243814703,0.04778340148678944,-0.037658675618529654,-0.037658675618529654,1793.8333333333333,1.0,0.0,0.03333333333333333,34.175813629312714
near_critical_0.99,grid_spline2min,0.99,0.99,0.948387689356399,0.04978172940807401,-0.04161231064360104,-0.04161231064360104,1793.8333333333333,0.9666666666666667,0.0,0.03333333333333333,35.17278528347623
near_critical_0.99,grid_spline1min,0.99,0.99,0.9422700661558073,0.050219636396139605,-0.047729933844192614,-0.047729933844192614,1793.8333333333333,0.8,0.0,0.03333333333333333,40.21682102720794
power_law_eps0.15,grid_const,0.7134499693250942,0.44960422969886177,0.4505689695671117,0.08665219636473492,-0.2628809997579825,0.000964739868249892,2008.3666666666666,1.0,0.0,0.06666666666666667,476.12599583722147
power_law_eps0.15,grid_spline2min,0.7134499693250942,0.44960422969886177,0.3745453428678148,0.07121869418105135,-0.3389046264572793,-0.07505888683104692,2008.3666666666666,1.0,0.0,0.1,453.15232927800685
power_law_eps0.15,grid_spline1min,0.7134499693250942,0.44960422969886177,0.3215150732912274,0.07016702805701512,-0.3919348960338668,-0.12808915640763435,2008.3666666666666,1.0,0.0,0.06666666666666667,229.5314006612453
smooth_mu,grid_const,0.3,0.3,0.9579096773331486,0.0069441017002063645,0.6579096773331485,0.6579096773331485,2013.4333333333334,1.0,0.0,0.06666666666666667,133.97737164374595
smooth_mu,grid_spline2min,0.3,0.3,0.3172611497670121,0.06579206862714457,0.017261149767012065,0.017261149767012065,2013.4333333333334,1.0,0.0,0.1,160.87850436628787
smooth_mu,grid_spline1min,0.3,0.3,0.28094774925414534,0.04956716028163693,-0.019052250745854628,-0.019052250745854628,2013.4333333333334,1.0,0.0,0.1,95.92012732045532
step_mu,grid_const,0.3,0.3,0.9003067221257633,0.01658892922610317,0.6003067221257633,0.6003067221257633,2015.9666666666667,1.0,0.0,0.03333333333333333,145.92269278670665
step_mu,grid_spline2min,0.3,0.3,0.3509952728871861,0.06213343836548596,0.05099527288718619,0.05099527288718619,2015.9666666666667,1.0,0.0,0.03333333333333333,214.69596457064026
step_mu,grid_spline1min,0.3,0.3,0.3090275692665449,0.04649746360313509,0.009027569266544959,0.009027569266544959,2015.9666666666667,1.0,0.0,0.0,98.75297964382665
burst_mu,grid_const,0.3,0.3,0.8656783514277666,0.007057182742209041,0.5656783514277667,0.5656783514277667,2614.5333333333333,1.0,0.0,0.1,328.9766083009257
burst_mu,grid_spline2min,0.3,0.3,0.8629374124581377,0.007281820475109041,0.5629374124581378,0.5629374124581378,2614.5333333333333,1.0,0.0,0.1,389.0614063287145
burst_mu,grid_spline1min,0.3,0.3,0.8525687513050825,0.01074439103838266,0.5525687513050825,0.5525687513050825,2614.5333333333333,1.0,0.0,0.1,354.38363202943816
slow_component_const_mu,grid_const,0.9,0.7896361676485673,0.8626436306905494,0.05197638752057967,-0.03735636930945065,0.07300746304198212,2095.6666666666665,1.0,0.03333333333333333,0.0,103.36663128909734
slow_component_const_mu,grid_spline2min,0.9,0.7896361676485673,0.7546530359485273,0.06802477344408725,-0.14534696405147274,-0.03498313170003997,2095.6666666666665,1.0,0.03333333333333333,0.0,184.1738932295935
slow_component_const_mu,grid_spline1min,0.9,0.7896361676485673,0.6576892345649771,0.07329440598377591,-0.24231076543502292,-0.13194693308359018,2095.6666666666665,1.0,0.03333333333333333,0.03333333333333333,71.24839255787387
sweeps_unmerged,grid_const,0.6,0.6,0.7152957297732784,0.02794059095736723,0.11529572977327844,0.11529572977327844,2994.6666666666665,1.0,1.0,0.9666666666666667,45.41316041392629
sweeps_unmerged,grid_spline2min,0.6,0.6,0.7040572178777922,0.027644315199811084,0.10405721787779217,0.10405721787779217,2994.6666666666665,1.0,1.0,0.9333333333333333,50.27055085331254
sweeps_unmerged,grid_spline1min,0.6,0.6,0.6929552425557356,0.02451617716771709,0.09295524255573566,0.09295524255573566,2994.6666666666665,1.0,1.0,0.9333333333333333,49.963843693101644
sweeps_merged,grid_const,0.6,0.6,0.6178754163014148,0.03711685397993904,0.01787541630141487,0.01787541630141487,2014.6,1.0,0.0,0.03333333333333333,49.20821112007796
sweeps_merged,grid_spline2min,0.6,0.6,0.6026149247896867,0.03695118662215954,0.002614924789686668,0.002614924789686668,2014.6,1.0,0.0,0.03333333333333333,53.73886925119497
sweeps_merged,grid_spline1min,0.6,0.6,0.5873182156690737,0.03372336338377822,-0.01268178433092626,-0.01268178433092626,2014.6,1.0,0.0,0.03333333333333333,53.54751590739811
