scenario,fitter,n_true,n_true_within_60s,mean,sd,bias,bias_within_60s,converged,loglik
exp_0.3,classical_const,0.3,0.3,0.27991032376034675,0.04464917635293239,-0.02008967623965322,-0.02008967623965322,1.0,469.59968929046283
exp_0.3,classical_spline,0.3,0.3,0.26672191849023985,0.04095293413634109,-0.03327808150976016,-0.03327808150976016,1.0,471.5102905662735
exp_0.3,neural_const,0.3,0.3,0.26704187703654403,0.0462045370170996,-0.032958122963455974,-0.032958122963455974,1.0,470.9951096284045
exp_0.3,neural_mlp,0.3,0.3,0.23725940972891274,0.03763684776348561,-0.06274059027108728,-0.06274059027108728,1.0,476.16464503895094
exp_0.6,classical_const,0.6,0.6,0.6048149671057346,0.03760033250051279,0.004814967105734635,0.004814967105734635,1.0,582.0021923483475
exp_0.6,classical_spline,0.6,0.6,0.5848424684819504,0.03323370662862674,-0.015157531518049605,-0.015157531518049605,1.0,584.3750542555711
exp_0.6,neural_const,0.6,0.6,0.5928776634328019,0.04608770225554308,-0.007122336567198062,-0.007122336567198062,1.0,584.6355707575483
exp_0.6,neural_mlp,0.6,0.6,0.5433669221498665,0.035248602142001616,-0.056633077850133495,-0.056633077850133495,1.0,589.9235579534886
exp_0.9,classical_const,0.9,0.9,0.8966998121764849,0.020336718812274508,-0.003300187823515155,-0.003300187823515155,1.0,1853.7494846875084
exp_0.9,classical_spline,0.9,0.9,0.889495065159211,0.019834495878490947,-0.010504934840788993,-0.010504934840788993,1.0,1856.0555756054987
exp_0.9,neural_const,0.9,0.9,0.8883516351611593,0.020414665240700663,-0.011648364838840663,-0.011648364838840663,1.0,1858.7898761024928
exp_0.9,neural_mlp,0.9,0.9,0.8738221893959105,0.03081189338778083,-0.02617781060408956,-0.02617781060408956,1.0,1864.7594230690847
mixture_0.6,classical_const,0.6,0.6,0.5909858069749511,0.03350787661553857,-0.009014193025048856,-0.009014193025048856,1.0,1027.5886649092704
mixture_0.6,classical_spline,0.6,0.6,0.5679556579434015,0.02865324701782414,-0.03204434205659843,-0.03204434205659843,1.0,1030.2002367162636
mixture_0.6,neural_const,0.6,0.6,0.5863958751795334,0.03300331768633736,-0.013604124820466556,-0.013604124820466556,1.0,1027.8174315281299
mixture_0.6,neural_mlp,0.6,0.6,0.5551060341909726,0.03140929804607397,-0.04489396580902738,-0.04489396580902738,1.0,1031.559529027499
power_law_0.9,classical_const,0.7134499693250942,0.5553237663762093,0.4407714601735179,0.06510305425635429,-0.2726785091515763,-0.11455230620269138,1.0,450.4153105815825
power_law_0.9,classical_spline,0.7134499693250942,0.5553237663762093,0.3736962182316835,0.06568715051450735,-0.3397537510934107,-0.1816275481445258,1.0,452.69995431768155
power_law_0.9,neural_const,0.7134499693250942,0.5553237663762093,0.44363930949958685,0.06369935831489992,-0.26981065982550734,-0.11168445687662239,1.0,450.7949507089799
power_law_0.9,neural_mlp,0.7134499693250942,0.5553237663762093,0.3115415117417327,0.06054749873653954,-0.40190845758336147,-0.24378225463447656,1.0,456.31657913897664
smooth_mu_0.3,classical_const,0.3,0.3,0.9560246034035005,0.0068728285551396305,0.6560246034035006,0.6560246034035006,1.0,809.4800980825414
smooth_mu_0.3,classical_spline,0.3,0.3,0.3241564686470988,0.05292648972624519,0.024156468647098805,0.024156468647098805,1.0,826.7317208625691
smooth_mu_0.3,neural_const,0.3,0.3,0.9738952755202945,0.019331448959989693,0.6738952755202947,0.6738952755202947,1.0,812.1752595579592
smooth_mu_0.3,neural_mlp,0.3,0.3,0.2593504184126625,0.04867825790606697,-0.040649581587337495,-0.040649581587337495,1.0,833.6070989288177
