scenario,seed,fitter,n_events,n_hat,converged,loglik,n_true,n_true_within_60s,bias,bias_within_60s
exp_0.3,0,classical_const,2014,0.3557565844058678,True,474.8100874564773,0.3,0.3,0.05575658440586784,0.05575658440586784
exp_0.3,0,classical_spline,2014,0.3321951386120487,True,477.9863250834255,0.3,0.3,0.0321951386120487,0.0321951386120487
exp_0.3,0,neural_const,2014,0.33164136305828623,True,476.0142166947734,0.3,0.3,0.03164136305828624,0.03164136305828624
exp_0.3,0,neural_mlp,2014,0.30018297144832157,True,483.2018107449841,0.3,0.3,0.0001829714483215783,0.0001829714483215783
exp_0.3,1,classical_const,2141,0.25239357534809326,True,615.5442304280323,0.3,0.3,-0.04760642465190673,-0.04760642465190673
exp_0.3,1,classical_spline,2141,0.2495170365830159,True,616.1004192090986,0.3,0.3,-0.05048296341698408,-0.05048296341698408
exp_0.3,1,neural_const,2141,0.25418207323180647,True,615.4003239154783,0.3,0.3,-0.04581792676819352,-0.04581792676819352
exp_0.3,1,neural_mlp,2141,0.23829711536206352,True,622.3004605249891,0.3,0.3,-0.06170288463793647,-0.06170288463793647
exp_0.3,2,classical_const,2032,0.35069284172062254,True,494.4534886434212,0.3,0.3,0.05069284172062255,0.05069284172062255
exp_0.3,2,classical_spline,2032,0.32917022623850783,True,497.56094296130755,0.3,0.3,0.029170226238507846,0.029170226238507846
exp_0.3,2,neural_const,2032,0.34455351428066333,True,496.7206711646113,0.3,0.3,0.04455351428066334,0.04455351428066334
exp_0.3,2,neural_mlp,2032,0.2824974402884118,True,505.31926546512614,0.3,0.3,-0.017502559711588206,-0.017502559711588206
exp_0.3,3,classical_const,2055,0.2738520208135884,True,520.0581388576261,0.3,0.3,-0.026147979186411596,-0.026147979186411596
exp_0.3,3,classical_spline,2055,0.26661017671183007,True,522.6217798176076,0.3,0.3,-0.03338982328816992,-0.03338982328816992
exp_0.3,3,neural_const,2055,0.24140772052421108,True,521.6688111952717,0.3,0.3,-0.058592279475788905,-0.058592279475788905
exp_0.3,3,neural_mlp,2055,0.23536305651579714,True,526.9512251203845,0.3,0.3,-0.06463694348420285,-0.06463694348420285
exp_0.3,4,classical_const,1965,0.25473254048994404,True,391.54913599429074,0.3,0.3,-0.04526745951005595,-0.04526745951005595
exp_0.3,4,classical_spline,1965,0.23811636150472473,True,393.60217114082707,0.3,0.3,-0.061883638495275256,-0.061883638495275256
exp_0.3,4,neural_const,1965,0.24404254659698807,True,392.0022470915234,0.3,0.3,-0.05595745340301192,-0.05595745340301192
exp_0.3,4,neural_mlp,1965,0.21255256361491748,True,397.93000472528627,0.3,0.3,-0.08744743638508251,-0.08744743638508251
exp_0.3,5,classical_const,1999,0.22309302425478159,True,427.49233751706356,0.3,0.3,-0.0769069757452184,-0.0769069757452184
exp_0.3,5,classical_spline,1999,0.21591209029857586,True,428.32637457330134,0.3,0.3,-0.08408790970142413,-0.08408790970142413
exp_0.3,5,neural_const,1999,0.23442696545103708,True,428.6939041751215,0.3,0.3,-0.0655730345489629,-0.0655730345489629
exp_0.3,5,neural_mlp,1999,0.19979058720841222,True,431.8972847436929,0.3,0.3,-0.10020941279158777,-0.10020941279158777
exp_0.3,6,classical_const,2036,0.25954106220636003,True,490.7080930281372,0.3,0.3,-0.04045893779363996,-0.04045893779363996
exp_0.3,6,classical_spline,2036,0.24948667653131268,True,492.43045389262284,0.3,0.3,-0.05051332346868731,-0.05051332346868731
exp_0.3,6,neural_const,2036,0.25156023058292126,True,491.53343521235297,0.3,0.3,-0.048439769417078726,-0.048439769417078726
exp_0.3,6,neural_mlp,2036,0.2417351996675457,True,493.15419272982086,0.3,0.3,-0.05826480033245429,-0.05826480033245429
exp_0.3,7,classical_const,1910,0.3015644412430629,True,332.94688461750593,0.3,0.3,0.0015644412430629306,0.0015644412430629306
exp_0.3,7,classical_spline,1910,0.28940380355658596,True,334.4478699331323,0.3,0.3,-0.01059619644341403,-0.01059619644341403
exp_0.3,7,neural_const,1910,0.3129035630676531,True,333.7805398703847,0.3,0.3,0.012903563067653112,0.012903563067653112
exp_0.3,7,neural_mlp,1910,0.27034364762642543,True,337.81099827505,0.3,0.3,-0.029656352373574557,-0.029656352373574557
exp_0.3,8,classical_const,1966,0.2401137874483134,True,396.6922938635032,0.3,0.3,-0.05988621255168658,-0.05988621255168658
exp_0.3,8,classical_spline,1966,0.21899984966030786,True,399.11885273020926,0.3,0.3,-0.08100015033969213,-0.08100015033969213
exp_0.3,8,neural_const,1966,0.2033302050783702,True,401.6414446676022,0.3,0.3,-0.09666979492162978,-0.09666979492162978
exp_0.3,8,neural_mlp,1966,0.20568121366443667,True,400.8037208999717,0.3,0.3,-0.09431878633556331,-0.09431878633556331
exp_0.3,9,classical_const,2088,0.28736335967283366,True,551.7422024985704,0.3,0.3,-0.012636640327166326,-0.012636640327166326
exp_0.3,9,classical_spline,2088,0.2778078252054887,True,552.9077163212028,0.3,0.3,-0.0221921747945113,-0.0221921747945113
