fitter,period,windows,n_mean,n_sd,n_min,n_max,boot_sd_mean
exp_const,close,3,0.4028434789948068,0.05307555541962243,0.364067715055435,0.4633329993903511,0.011561640613262066
exp_const,morning,23,0.3458574687755055,0.05954964826324175,0.2371080669036744,0.4738718877573518,0.014030585947570897
exp_const,pre,3,0.276805511807296,0.028231847045112547,0.2446402639851696,0.2974799558351021,0.0201002902154351
exp_const,press_conference,6,0.3648248112583756,0.08904966503176653,0.2881424873607668,0.5059563802424584,0.01617226345233845
exp_const,statement,3,0.35607032455199117,0.0696173286323635,0.278198574351117,0.4122852429244382,0.016480245041395534
exp_spline,close,3,0.3898240773784664,0.03723794559130848,0.3622132590012995,0.4321758807923908,0.011573252590802802
exp_spline,morning,23,0.34148843059998735,0.059329625334540094,0.2356197064063019,0.4691978228131161,0.01391267821795484
exp_spline,pre,3,0.2703110733277596,0.025804536886442957,0.240523256737059,0.2858283683352557,0.019759861622800735
exp_spline,press_conference,6,0.36183736804304006,0.09121534924750581,0.2856500881167346,0.5061415211400963,0.014765356306571798
exp_spline,statement,3,0.35147053804389455,0.06623357064429047,0.2774694221715379,0.4051971839126036,0.016995424892610467
mix_const,close,3,0.7970101263410284,0.12929440987472762,0.6843179101183264,0.9381642100617872,0.04513790652917027
mix_const,morning,23,0.6836142281547447,0.08707748240684515,0.5420826207596731,0.8323112924029996,0.0556465396006831
mix_const,pre,3,0.5395685449121653,0.06330905885858076,0.4675428931208754,0.5864103156589551,0.07375769726517833
mix_const,press_conference,6,0.7196705165513316,0.04883047879854665,0.6561396205058074,0.7703320685869282,0.05212396853878068
mix_const,statement,3,0.7442173799877395,0.06538721988350063,0.6944987355649259,0.8182857544320601,0.0559443905664034
mix_spline,close,3,0.663730101795119,0.10202479409299214,0.6007455092695789,0.7814416791846255,0.041811057215364565
mix_spline,morning,23,0.6108135176713455,0.09127455752686708,0.4519158310030063,0.7694565046544586,0.04369597356595342
mix_spline,pre,3,0.44035763916791093,0.09454270054929206,0.3599770423087707,0.5445209159835105,0.04886142984650843
mix_spline,press_conference,6,0.6584711421328739,0.05480259383793767,0.5810160791911061,0.7302865228459096,0.04863312151110925
mix_spline,statement,3,0.6049435840864102,0.04853999859916729,0.5495158333418197,0.6398654272412242,0.044540415403252535
neural_const,close,3,0.8229235394166562,0.13707202533930454,0.7058764432988295,0.9737169259841912,0.05428228087554623
neural_const,morning,23,0.700691640989375,0.08547679933584987,0.5138123567245282,0.8439807562215029,0.060321200118013125
neural_const,pre,3,0.4937038204716961,0.14401587451661343,0.3274691945446539,0.5807081592850432,0.05170443788468263
neural_const,press_conference,6,0.7396774524428839,0.055447118307883944,0.6768397336241527,0.8120836149825164,0.07065828884542592
neural_const,statement,3,0.7616399549678105,0.07806146568793826,0.712072806678222,0.8516225765226523,0.04652194458859927
neural_mlp,close,3,0.651778024550525,0.12276211803983685,0.5683514696535072,0.792741214236466,0.06143786234567391
neural_mlp,morning,23,0.5706707858350107,0.11043945310061927,0.4242084546772686,0.7924232142342361,0.04732856697412642
neural_mlp,pre,3,0.3891696285071764,0.09075555955454433,0.3161386092876236,0.4907729577445407,0.03848943220114923
neural_mlp,press_conference,6,0.5741491814902012,0.11008078887401423,0.4169797098112122,0.6886688996456775,0.05510781487762315
neural_mlp,statement,3,0.5784495217250433,0.06460925658635043,0.5053203464489127,0.6277988201230592,0.04636227842255639
