source,fitter,comparison,diff,sign,perm_p
phase1_rolling_trades_w600,exp_const,statement - morning,0.010212855776485674,1,0.7844607769611519
phase1_rolling_trades_w600,exp_const,press_conference - morning,0.01896734248287013,1,0.5296235188240588
phase1_rolling_trades_w600,exp_const,press_conference - statement,0.008754486706384457,1,0.7622618869056547
phase1_rolling_trades_w600,exp_spline,statement - morning,0.009982107443907207,1,0.8053097345132744
phase1_rolling_trades_w600,exp_spline,press_conference - morning,0.020348937443052717,1,0.5052747362631869
phase1_rolling_trades_w600,exp_spline,press_conference - statement,0.01036682999914551,1,0.7501624918754062
phase1_rolling_trades_w600,mix_const,statement - morning,0.060603151832994806,1,0.2671366431678416
phase1_rolling_trades_w600,mix_const,press_conference - morning,0.03605628839658692,1,0.3400829958502075
phase1_rolling_trades_w600,mix_const,press_conference - statement,-0.024546863436407884,-1,0.5491725413729314
phase1_rolling_trades_w600,mix_spline,statement - morning,-0.005869933584935261,-1,0.9097045147742613
phase1_rolling_trades_w600,mix_spline,press_conference - morning,0.047657624461528436,1,0.23913804309784512
phase1_rolling_trades_w600,mix_spline,press_conference - statement,0.0535275580464637,1,0.2112394380280986
phase2_rolling_trades_w600,neural_const,statement - morning,0.060948313978435475,1,0.25533723313834306
phase2_rolling_trades_w600,neural_const,press_conference - morning,0.03898581145350888,1,0.3017849107544623
phase2_rolling_trades_w600,neural_const,press_conference - statement,-0.021962502524926597,-1,0.5740212989350533
phase2_rolling_trades_w600,neural_mlp,statement - morning,0.007778735890032529,1,0.9033048347582621
phase2_rolling_trades_w600,neural_mlp,press_conference - morning,0.0034783956551904804,1,0.9457027148642568
phase2_rolling_trades_w600,neural_mlp,press_conference - statement,-0.004300340234842048,-1,0.9274036298185091
robustness: merge 0 (identical ts),mix_const [merge 0 (identical ts)],statement - morning,0.060603151832994806,1,0.2760861956902155
robustness: merge 0 (identical ts),mix_const [merge 0 (identical ts)],press_conference - morning,0.03605628839658692,1,0.3464326783660817
